FishID,Source,Location,Year_samples_collected,d13C,d15N,d34S,%C,%N,%S,CN,Species,Station,SIA_location
698_Cel,Ifremer,Celtic,2018,-19.33,12.96,19.02,46.34,13.91,1.23,3.33,Haddock,CELTIC_18,LSMSF
699_Cel,Ifremer,Celtic,2018,-19.29,12.66,18.56,46.19,13.77,1.17,3.35,Haddock,CELTIC_18,LSMSF
700_Cel,Ifremer,Celtic,2018,-19.21,12.69,18.96,47.16,14.11,1.12,3.34,Haddock,CELTIC_25,LSMSF
701_Cel,Ifremer,Celtic,2018,-18.55,12.54,18.03,48.79,13.66,1.01,3.57,Haddock,CELTIC_09,LSMSF
702_Cel,Ifremer,Celtic,2018,-18.67,12.35,19.19,45.24,13.63,1.14,3.32,Haddock,CELTIC_09,LSMSF
703_Cel,Ifremer,Celtic,2018,-18.15,13.05,18.92,47.87,14.41,1.14,3.32,Haddock,CELTIC_09,LSMSF
704_Cel,Ifremer,Celtic,2018,-18.44,12.91,18.85,44.56,13.65,1.18,3.26,Haddock,CELTIC_09,LSMSF
705_Cel,Ifremer,Celtic,2018,-18.46,12.29,17.99,45.27,13.97,1.23,3.24,Haddock,CELTIC_09,LSMSF
706_Cel,Ifremer,Celtic,2018,-18.5,13.39,17.96,45.42,13.47,1.13,3.37,Haddock,CELTIC_14,LSMSF
707_Cel,Ifremer,Celtic,2018,-18.36,12.74,18.04,44.96,13.84,1.11,3.25,Haddock,CELTIC_14,LSMSF
708_Cel,Ifremer,Celtic,2018,-19.09,12.41,19.18,45.62,13.69,1.13,3.33,Haddock,CELTIC_14,LSMSF
709_Cel,Ifremer,Celtic,2018,-17.79,13.9,18.26,44.41,13.63,1.09,3.26,Haddock,CELTIC_14,LSMSF
710_Cel,Ifremer,Celtic,2018,-18.3,13.71,17.51,45.44,13.87,1.11,3.28,Haddock,CELTIC_14,LSMSF
711_Cel,Ifremer,Celtic,2018,-19.42,12.84,18.5,45.15,13.39,1.22,3.37,Haddock,CELTIC_10,LSMSF
712_Cel,Ifremer,Celtic,2018,-18.68,12.78,18.98,45.65,13.71,1.21,3.33,Haddock,CELTIC_10,LSMSF
713_Cel,Ifremer,Celtic,2018,-19.13,12.52,17.37,46.28,13.42,1.17,3.45,Haddock,CELTIC_10,LSMSF
714_Cel,Ifremer,Celtic,2018,-18.61,12.45,19.52,45.38,13.66,1.11,3.32,Haddock,CELTIC_10,LSMSF
715_Cel,Ifremer,Celtic,2018,-18.49,12.11,18.3,45.39,13.48,1.09,3.37,Haddock,CELTIC_10,LSMSF
716_Cel,Ifremer,Celtic,2018,-19.2,12.11,18.46,45.35,13.05,1.19,3.48,Haddock,CELTIC_05,LSMSF
717_Cel,Ifremer,Celtic,2018,-18.63,12.94,19.04,48.37,14.16,1.17,3.42,Haddock,CELTIC_05,LSMSF
718_Cel,Ifremer,Celtic,2018,-18.16,13.22,18.94,44.7,13.75,1.17,3.25,Haddock,CELTIC_05,LSMSF
719_Cel,Ifremer,Celtic,2018,-18.47,12.27,19.59,45.84,13.83,1.23,3.31,Haddock,CELTIC_05,LSMSF
720_Cel,Ifremer,Celtic,2018,-18.01,13.09,19.2,47.27,14.52,1.19,3.26,Haddock,CELTIC_05,LSMSF
721_Cel,Ifremer,Celtic,2018,-18.7,12.59,19.23,45.44,13.75,1.22,3.31,Haddock,CELTIC_13,LSMSF
722_Cel,Ifremer,Celtic,2018,-18.8,12.42,19.47,45.45,13.51,1.12,3.36,Haddock,CELTIC_13,LSMSF
723_Cel,Ifremer,Celtic,2018,-18.9,12.76,18.61,48.93,15.03,1.31,3.26,Haddock,CELTIC_13,LSMSF
724_Cel,Ifremer,Celtic,2018,-18.7,12.81,17.06,45.36,13.47,1.15,3.37,Haddock,CELTIC_13,LSMSF
725_Cel,Ifremer,Celtic,2018,-18.56,13.14,19.08,44.73,13.62,1.15,3.28,Haddock,CELTIC_13,LSMSF
726_Cel,Ifremer,Celtic,2018,-18.43,12.11,18.64,45.97,13.93,1.18,3.3,Haddock,CELTIC_08,LSMSF
727_Cel,Ifremer,Celtic,2018,-17.66,13.18,18.34,46.98,14.37,1.17,3.27,Haddock,CELTIC_08,LSMSF
728_Cel,Ifremer,Celtic,2018,-17.55,13.83,18.81,45.52,14.14,1.16,3.22,Haddock,CELTIC_08,LSMSF
729_Cel,Ifremer,Celtic,2018,-17.95,13.76,19.44,46.51,14.33,1.08,3.25,Haddock,CELTIC_08,LSMSF
730_Cel,Ifremer,Celtic,2018,-18.33,13.16,19.19,44.99,13.51,1.12,3.33,Haddock,CELTIC_08,LSMSF
731_Cel,Ifremer,Celtic,2018,-18.61,12.34,18.32,44.36,13.73,1.11,3.23,Haddock,CELTIC_16,LSMSF
732_Cel,Ifremer,Celtic,2018,-17.76,13.11,17.43,47.14,14.05,1.18,3.35,Haddock,CELTIC_16,LSMSF
733_Cel,Ifremer,Celtic,2018,-18.98,12.47,19.3,45.24,13.91,1.13,3.25,Haddock,CELTIC_16,LSMSF
734_Cel,Ifremer,Celtic,2018,-18.09,13.21,18.08,45.43,13.98,1.15,3.25,Haddock,CELTIC_16,LSMSF
735_Cel,Ifremer,Celtic,2018,-18.88,13.11,18.54,45.86,13.91,1.08,3.3,Haddock,CELTIC_16,LSMSF
736_Cel,Ifremer,Celtic,2018,-17.57,14.88,18.97,35.49,11,0.86,3.23,Haddock,CELTIC_01,LSMSF
737_Cel,Ifremer,Celtic,2018,-17.51,14.31,19.29,43.98,13.81,1.11,3.18,Haddock,CELTIC_01,LSMSF
738_Cel,Ifremer,Celtic,2018,-18.56,14.1,19.93,45.81,14.11,1.13,3.25,Haddock,CELTIC_01,LSMSF
739_Cel,Ifremer,Celtic,2018,-18.75,13.96,19.31,45.46,13.59,1.2,3.34,Haddock,CELTIC_01,LSMSF
740_Cel,Ifremer,Celtic,2018,-18.42,14.81,19.46,46.39,13.6,1.18,3.41,Haddock,CELTIC_01,LSMSF
578_Ice,Marine and Freshwater Research Institute,Iceland,2018,-16.87,13.83,16.93,42.62,13.54,1.14,3.15,Haddock,ICELAND_03,LSMSF
579_Ice,Marine and Freshwater Research Institute,Iceland,2018,-17.07,13.23,17.37,44.56,13.81,1.17,3.23,Haddock,ICELAND_03,LSMSF
580_Ice,Marine and Freshwater Research Institute,Iceland,2018,-17.03,13.49,18.57,44.54,13.94,1.26,3.2,Haddock,ICELAND_03,LSMSF
581_Ice,Marine and Freshwater Research Institute,Iceland,2018,-17.15,13.52,17.99,44.02,13.87,1.21,3.17,Haddock,ICELAND_03,LSMSF
582_Ice,Marine and Freshwater Research Institute,Iceland,2018,-17.51,13.16,16.83,43.85,13.81,1.09,3.18,Haddock,ICELAND_04,LSMSF
583_Ice,Marine and Freshwater Research Institute,Iceland,2018,-18.2,13.57,18.02,44.15,13.94,1.07,3.17,Haddock,ICELAND_04,LSMSF
585_Ice,Marine and Freshwater Research Institute,Iceland,2018,-18.29,13.68,17.96,44.08,13.77,1.14,3.2,Haddock,ICELAND_04,LSMSF
586_Ice,Marine and Freshwater Research Institute,Iceland,2018,-17.87,13.59,17.51,44.77,14.04,1.08,3.19,Haddock,ICELAND_04,LSMSF
587_Ice,Marine and Freshwater Research Institute,Iceland,2018,-18.52,13.95,18.07,44.04,13.37,1.13,3.29,Haddock,ICELAND_12,LSMSF
588_Ice,Marine and Freshwater Research Institute,Iceland,2018,-18.18,14.29,17.85,42.63,13.38,1.12,3.19,Haddock,ICELAND_12,LSMSF
589_Ice,Marine and Freshwater Research Institute,Iceland,2018,-17.84,13.29,17.53,43.51,13.39,0.95,3.25,Haddock,ICELAND_12,LSMSF
597_Ice,Marine and Freshwater Research Institute,Iceland,2018,-17.81,11.82,17.65,43.92,13.55,0.95,3.24,Haddock,ICELAND_15,LSMSF
598_Ice,Marine and Freshwater Research Institute,Iceland,2018,-17.58,12.38,17.18,44.38,13.84,1.28,3.21,Haddock,ICELAND_15,LSMSF
600_Ice,Marine and Freshwater Research Institute,Iceland,2018,-18.05,12.21,17.48,43.44,13.46,1.06,3.23,Haddock,ICELAND_15,LSMSF
601_Ice,Marine and Freshwater Research Institute,Iceland,2018,-17.76,11.87,17.88,43.26,13.63,1.03,3.17,Haddock,ICELAND_15,LSMSF
613_Ice,Marine and Freshwater Research Institute,Iceland,2018,-17.99,13.15,17.38,41.73,13.12,1.23,3.18,Haddock,ICELAND_06,LSMSF
614_Ice,Marine and Freshwater Research Institute,Iceland,2018,-17.5,13.76,17.54,42.58,13.16,1.31,3.23,Haddock,ICELAND_06,LSMSF
615_Ice,Marine and Freshwater Research Institute,Iceland,2018,-17.57,13.65,17.74,43.56,13.38,1.14,3.25,Haddock,ICELAND_06,LSMSF
616_Ice,Marine and Freshwater Research Institute,Iceland,2018,-17.56,14.6,16.67,43.18,13.48,1.26,3.2,Haddock,ICELAND_06,LSMSF
617_Ice,Marine and Freshwater Research Institute,Iceland,2018,-17.09,13.9,16.56,43.93,13.69,1.37,3.21,Haddock,ICELAND_06,LSMSF
623_Ice,Marine and Freshwater Research Institute,Iceland,2018,-17.82,13.54,18.99,44.38,13.73,1.22,3.23,Haddock,ICELAND_01,LSMSF
624_Ice,Marine and Freshwater Research Institute,Iceland,2018,-18.72,12.42,18.8,44.63,13.87,1.16,3.22,Haddock,ICELAND_01,LSMSF
625_Ice,Marine and Freshwater Research Institute,Iceland,2018,-17.07,13.58,17.91,44.04,13.77,1.28,3.2,Haddock,ICELAND_01,LSMSF
626_Ice,Marine and Freshwater Research Institute,Iceland,2018,-17.06,13.3,18.31,44.43,13.99,1.2,3.18,Haddock,ICELAND_01,LSMSF
627_Ice,Marine and Freshwater Research Institute,Iceland,2018,-16.71,13.33,18.13,44.27,13.96,1.35,3.17,Haddock,ICELAND_01,LSMSF
628_Ice,Marine and Freshwater Research Institute,Iceland,2018,-18.44,14.38,16.14,43.84,13.62,1.31,3.22,Haddock,ICELAND_09,LSMSF
630_Ice,Marine and Freshwater Research Institute,Iceland,2018,-18.3,13.72,17.74,43.21,13.43,1.16,3.22,Haddock,ICELAND_09,LSMSF
631_Ice,Marine and Freshwater Research Institute,Iceland,2018,-18.78,13.27,18.3,44.64,13.95,1.34,3.2,Haddock,ICELAND_09,LSMSF
632_Ice,Marine and Freshwater Research Institute,Iceland,2018,-19.02,12.29,18.52,44.07,13.38,1.11,3.29,Haddock,ICELAND_09,LSMSF
638_Ice,Marine and Freshwater Research Institute,Iceland,2018,-17.86,12.96,17.25,42.69,13.3,1.17,3.21,Haddock,ICELAND_16,LSMSF
640_Ice,Marine and Freshwater Research Institute,Iceland,2018,-16.86,14.03,17.24,43.83,13.56,1.33,3.23,Haddock,ICELAND_16,LSMSF
641_Ice,Marine and Freshwater Research Institute,Iceland,2018,-17.1,13.2,17.92,44.11,13.85,1.31,3.18,Haddock,ICELAND_16,LSMSF
642_Ice,Marine and Freshwater Research Institute,Iceland,2018,-17.13,13.79,18.97,44.29,13.76,1.29,3.22,Haddock,ICELAND_16,LSMSF
643_Ice,Marine and Freshwater Research Institute,Iceland,2018,-17.61,11.63,14.02,44.5,13.99,0.99,3.18,Haddock,ICELAND_14,LSMSF
644_Ice,Marine and Freshwater Research Institute,Iceland,2018,-17.43,11.98,17.2,42.71,13.48,0.99,3.17,Haddock,ICELAND_14,LSMSF
645_Ice,Marine and Freshwater Research Institute,Iceland,2018,-17.2,11.96,16.04,44.25,14.05,0.79,3.15,Haddock,ICELAND_14,LSMSF
646_Ice,Marine and Freshwater Research Institute,Iceland,2018,-17.75,12.02,14.75,45.59,13.93,1.05,3.27,Haddock,ICELAND_14,LSMSF
