Date_dd_mm_yyyy,Distance_mm,Height_cm
05032021,157.53,7.491
05032021,157.72,7.495
05032021,157.905,7.494
05032021,158.095,7.491
05032021,158.28,7.495
05032021,158.47,7.491
05032021,158.66,7.495
05032021,158.845,7.495
05032021,159.035,7.495
05032021,159.22,7.495
05032021,159.41,7.495
05032021,159.6,7.5
05032021,159.785,7.495
05032021,159.975,7.495
05032021,160.16,7.495
05032021,160.35,7.49
05032021,160.54,7.49
05032021,160.725,7.495
05032021,160.915,7.495
05032021,161.1,7.491
05032021,161.29,7.495
05032021,161.48,7.495
05032021,161.665,7.495
05032021,161.855,7.495
05032021,162.04,7.495
05032021,162.23,7.495
05032021,162.42,7.495
05032021,162.605,7.495
05032021,162.795,7.495
05032021,162.98,7.495
05032021,163.17,7.495
05032021,163.36,7.494
05032021,163.545,7.49
05032021,163.735,7.494
05032021,163.92,7.491
05032021,164.11,7.495
05032021,164.3,7.495
05032021,164.485,7.495
05032021,164.675,7.495
05032021,164.86,7.496
05032021,165.05,7.5
05032021,165.24,7.495
05032021,165.425,7.496
05032021,165.615,7.5
05032021,165.8,7.495
05032021,165.99,7.495
05032021,166.18,7.496
05032021,166.365,7.5
05032021,166.555,7.499
05032021,166.74,7.495
05032021,166.93,7.499
05032021,167.12,7.495
05032021,167.305,7.495
05032021,167.495,7.495
05032021,167.68,7.496
05032021,167.87,7.5
05032021,168.06,7.495
05032021,168.245,7.495
05032021,168.435,7.495
05032021,168.62,7.495
05032021,168.81,7.495
05032021,169,7.495
05032021,169.185,7.495
05032021,169.375,7.495
05032021,169.56,7.499
05032021,169.75,7.496
05032021,169.94,7.499
05032021,170.125,7.496
05032021,170.315,7.5
05032021,170.5,7.5
05032021,170.69,7.501
05032021,170.88,7.505
05032021,171.065,7.505
05032021,171.255,7.506
05032021,171.44,7.51
05032021,171.63,7.512
05032021,171.82,7.506
05032021,172.005,7.51
05032021,172.195,7.51
05032021,172.38,7.51
05032021,172.57,7.51
05032021,172.76,7.515
05032021,172.945,7.514
05032021,173.135,7.51
05032021,173.32,7.515
05032021,173.51,7.515
05032021,173.7,7.515
05032021,173.885,7.515
05032021,174.075,7.513
05032021,174.26,7.51
05032021,174.45,7.515
05032021,174.64,7.515
05032021,174.825,7.518
05032021,175.015,7.515
05032021,175.2,7.515
05032021,175.39,7.515
05032021,175.58,7.515
05032021,175.765,7.515
05032021,175.955,7.513
05032021,176.14,7.51
05032021,176.33,7.515
05032021,176.52,7.515
05032021,176.705,7.514
05032021,176.895,7.51
05032021,177.08,7.513
05032021,177.27,7.51
05032021,177.46,7.511
05032021,177.645,7.514
05032021,177.835,7.509
05032021,178.02,7.506
05032021,178.21,7.509
05032021,178.4,7.505
05032021,178.585,7.505
05032021,178.775,7.506
05032021,178.96,7.509
05032021,179.15,7.505
05032021,179.34,7.506
05032021,179.525,7.51
05032021,179.715,7.505
05032021,179.9,7.506
05032021,180.09,7.509
05032021,180.28,7.506
05032021,180.465,7.509
05032021,180.655,7.505
05032021,180.84,7.504
05032021,181.03,7.501
05032021,181.22,7.505
05032021,181.405,7.505
05032021,181.595,7.505
05032021,181.78,7.504
05032021,181.97,7.5
05032021,182.16,7.5
05032021,182.345,7.5
05032021,182.535,7.5
05032021,182.72,7.5
05032021,182.91,7.5
