Sample_ID,Region,Mg,Al,Si,P,S,K,Ca,Ti,V,Cr,Mn,Fe,Co,Ni,Cu,Zn,As,Se,Rb,Sr,Y,Zr,Nb,Mo,Ag,Cd,Sn,Sb,Ba,La,Ce,Pr,Nd,W,Hg,Pb,Bi,Th,U
18,Faroes,0,0,641,4079,11216,5014,1655,2095,0,0,164,55,0,0,5,42,0,0,1,6,0,0,0,2,0,0,0,0,22,0,0,63,80,0,0,0,0,44,11
18,Faroes,0,585,519,4067,11401,4993,1657,2077,0,0,159,58,4,0,3,42,0,0,1,6,0,0,0,0,0,0,0,0,0,0,0,0,72,0,0,0,0,42,12
18,Faroes,4950,677,642,4098,11221,5042,1665,2091,0,0,167,52,4,0,3,43,0,0,1,6,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,43,12
20,Faroes,4385,0,412,6608,17253,10590,699,92,0,0,67,44,0,0,6,30,0,0,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,10
20,Faroes,6570,0,387,6575,17034,10679,694,107,0,0,68,39,3,0,4,29,0,0,2,6,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,34,9
20,Faroes,5449,0,388,6578,17019,10629,687,90,0,0,71,40,4,0,5,29,0,0,1,5,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,35,9
21,Faroes,0,442,386,5308,14480,7146,1132,933,0,0,99,62,3,0,8,38,0,0,1,4,0,0,0,2,0,0,0,0,0,0,0,56,0,0,0,0,0,37,10
21,Faroes,4354,718,465,5319,14736,7194,1123,960,0,0,100,60,0,0,6,38,0,0,1,4,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,39,10
21,Faroes,4659,0,437,5308,14409,7186,1124,978,0,0,100,61,0,0,7,38,0,0,1,4,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,37,10
22,Faroes,6746,581,546,8076,16140,11012,1201,133,0,0,88,57,0,0,4,29,0,0,2,7,0,0,0,3,0,0,0,0,0,0,0,0,99,0,0,0,0,44,12
22,Faroes,4756,600,415,8135,16228,11034,1213,153,0,0,97,54,4,0,4,27,0,0,2,7,0,0,0,3,0,0,0,0,19,0,0,59,81,0,0,0,0,44,11
22,Faroes,4836,0,471,8047,16246,11107,1253,141,0,0,93,56,0,0,4,28,0,0,2,6,0,0,0,3,0,0,0,0,17,27,0,76,0,0,0,0,0,43,11
23,Faroes,4774,0,574,5369,14313,7192,1214,1100,0,0,124,50,0,0,4,37,0,0,2,5,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,36,10
23,Faroes,4614,636,475,5347,14571,7193,1203,1105,0,0,124,50,3,0,6,38,0,0,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,9
23,Faroes,6423,0,684,5334,14546,7173,1226,1112,0,0,124,46,0,0,4,38,0,0,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,10
23,Faroes,4088,507,565,5038,13631,6569,1321,1452,0,0,123,50,0,0,5,41,0,0,2,6,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,36,10
23,Faroes,5755,571,579,5011,13850,6470,1321,1428,0,0,130,53,4,0,5,40,0,0,2,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,10
23,Faroes,4650,595,608,4985,13838,6471,1354,1462,0,0,129,52,0,0,5,41,0,0,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,10
25,Faroes,4554,0,427,7265,18261,10066,650,363,0,0,70,55,0,0,4,36,0,0,2,5,0,0,0,2,0,0,0,0,0,0,41,61,0,0,0,0,0,35,10
25,Faroes,4561,0,342,7237,18165,10037,686,358,0,0,67,56,0,0,4,36,0,0,2,5,0,0,0,2,0,0,0,0,21,0,53,0,0,0,0,0,0,37,10
25,Faroes,4747,655,378,7252,18469,10058,638,340,0,0,70,56,0,0,4,35,0,0,1,5,0,0,0,0,0,0,0,0,0,0,0,0,76,0,0,0,0,36,10
27,Faroes,5962,0,368,7465,18328,9952,1326,260,0,0,61,46,0,0,6,32,0,0,2,7,0,0,0,2,0,0,0,0,22,33,38,58,90,0,0,0,0,35,10
